Word,Definition,Other Meanings,Nominative,Dative,Accusative,Present,Imperfect,Perfect,Other Information
Igitur,Therefore,And so...,"","","","","","",""
Tristis,Sad,"","","","","","","",""
Iubeo,Order,"","","","","I = iubeo , you(singular) = iubes , he/she = iubet , we = iubemus , you(plural) = iubetis , they = iubent","I = iubebam , you(singular) = iubebas , he/she = iubebat , we = iubebamus , you(plural) = iubebatis , they = iubebant","I = iussi , you(singular) = iussisti , he/she = iussit , we = iussimus , you(plural) = iussistis , they = iusserunt",""
Deleo,Grieve,Be hurt,"","","","","","",""
Displodo,Explode,"","","","","","","",""
Aeger,Sick,Ill,aeger(singular) / aegri(plural),aegro(singular) /aegris(plural),aegrum(singular) / aegris(plural),"","","",""
Alter,Other,Of two,alter(singular) / alteri(plural),altero(singular) / alteris(plural),alterum(singular) / alteros(plural),"","","",""
Fessus,Tired,"",fessus(singular) / fessi(plural),fesso(singular) / fessis(plural),fessum(singular) / fessos(plural),"","","",""
Ignavus,Cowardly,Lazy,ignavus(singular) / ignavi(plural),ignavo(singular) / ignavis(plural),ignavos(singular) / ignavos(plural),"","","",""
Nolo,Not want,Be unwilling / Refuse,"","","","I = nolo , you(singular) = non vis , he/she = non vult , we = nolumus , you(plural) = non vultis , they = nolunt","I = nolebam , you(singular) = nolebas , he/she = nolebat , we = nolebamus , you(plural) = nolebatis , they = nolebant","I = nolui , you(singular) = noluisti , he/she = noluit , we = noluimus , you(plural) = noluistis , they = noluerunt",""
Traho,Drag,Pull,"","","","I = traho , you(singular) = trahis , he/she = trahit , we = trahimus , you(plural) = trahitis , they = trahunt","I = trahebam , you(singular) = trahebas , he/she = trahebat , we = trahebamus , you(plural) = trahebatis , they = trahebant","I = traxi , you(singular) = traxisti , he/she = traxit , we = traximus , you(plural) = traxistis , they = traxerunt",""
Hic,This,"",hic(singular) / hi(plural),huic(singular) / his(plural),hunc(singular) / hos(plural),"","","",""
Ille,That,He,ille(singular) / illi(plural),illi(singular) / illis(plural),illum(singular) / illos(plural),"","","",""
Possum,be able,Can,"","","","I = possum , you(singular) = potes , he/she = potest , we = possumus , you(plural) = potestis , they = possunt","I = poteram , you(singular) = poteras , he/she = poterat , we = poteramus , you(plural) = poteratis , they = poterant","I = potui , you(singular) = potuisti , he/she = potuit , we = potuimus , you(plural) = potuistis , they = potuerunt",""
Que,And,"","","","","","","",Placed after a word. (e.g materque pater)
Ne,"","","","","","","","",Signals a question. (e.g. Estne)
Ceteri,Others,The rest,ceteri(plural),ceteris(plural),ceteros(plural),"","","",""
Novus,New,"",novus(singular) / novi(plural),novo(singular) / novis(plural),novum(singular) / novos(plural),"","","",""
Se,Himself,Herself / Itself / Themselves,"",sibi(singular and plural),sui(singular and plural),"","","",""
Vita,Life,"",vita(singular) / vitae(plural),vitae(singular) / vitis(plural),vitam(singular) / vitas,"","","",""
Attonitus,Astonished,"",attonitus(singular) / attonti(plural),attonito(singular) / attonitis(plural),attonitum(singular) / attonitos(plural),"","","",""
Facilis,Easy,"",facilis(singular) / faciles(plural),facili(singular) / facilibus(plural),facilem(singular) / faciles(plural),"","","",""
Apud,Among,At someone's house,"","","","","","",""
Decorus,Proper,Appropriate / Right,decorus(singular) / decori(plural),decoro(singular) / decoris(plural),decorum(singular) / decoros(plural),"","","",""
Ipse,-self,"","","","","","","","Used after him / her and other words that follows similary to those two words. (e.g himself, herself, and itself)"
Iste,That,"","","","","","","",In a negative sence
Necesse,Necessary,"","","","","","","",""
Quamquam,Although,"","","","","","","",""
Deus,god,,"","","","","","",Dea = Goddess
